½»Ò×ÈÕÆÚ,ºÏÔ¼ÏµÁĞ,³É½»Á¿,³Ö²ÖÁ¿,³Ö²ÖÁ¿±ä»¯,³É½»¶î,ĞĞÈ¨Á¿,Òşº¬²¨¶¯ÂÊ,Òşº¬²¨¶¯ÂÊ(%)
2025/4/30,ru2507,95,183,63,8.326,0,0.287652,28.7652
2025/4/30,ru2509,9545,46077,829,4530.007,0,0.243262,24.3262
2025/4/30,ru2601,174,757,56,68.333,0,0.22101,22.101
2025/4/30,Ğ¡¼Æ,10686,50042,1280,4684.858,0,,
2025/5/6,ru2506,731,3069,44,57.429,0,0.268434,26.8434
2025/5/6,ru2507,39,211,28,2.643,0,0.288058,28.8058
2025/5/6,ru2509,8369,46007,-70,2925.464,2,0.242283,24.2283
2025/5/6,ru2601,152,795,38,54.217,0,0.217907,21.7907
2025/5/6,Ğ¡¼Æ,9291,50082,40,3039.753,2,,
2025/5/7,ru2506,1560,3478,409,101.788,0,0.273195,27.3195
2025/5/7,ru2507,40,201,-10,3.552,0,0.236856,23.6856
2025/5/7,ru2509,14726,46409,402,4271.768,0,0.237558,23.7558
2025/5/7,ru2601,135,824,29,57.751,0,0.210607,21.0607
2025/5/7,Ğ¡¼Æ,16461,50912,830,4434.859,0,,
2025/5/8,ru2506,894,3606,128,48.677,0,0.264121,26.4121
2025/5/8,ru2507,25,206,5,3.747,0,0.236471,23.6471
2025/5/8,ru2509,9614,47416,1007,3078.235,0,0.241467,24.1467
2025/5/8,ru2601,225,846,22,133.632,0,0.215535,21.5535
2025/5/8,Ğ¡¼Æ,10758,52074,1162,3264.291,0,,
2025/5/9,ru2506,949,3872,266,35.422,0,0.272526,27.2526
2025/5/9,ru2507,6,206,0,0.497,0,0.244012,24.4012
2025/5/9,ru2509,6411,48124,708,1870.699,0,0.24644,24.644
2025/5/9,ru2601,94,881,35,44.089,0,0.216588,21.6588
2025/5/9,Ğ¡¼Æ,7460,53083,1009,1950.707,0,,
2025/5/12,ru2506,1829,4199,327,90.662,0,0.251824,25.1824
2025/5/12,ru2507,67,206,0,9.078,0,0.237626,23.7626
2025/5/12,ru2509,18358,47514,-610,5585.94,0,0.2301,23.01
2025/5/12,ru2601,170,900,19,55.279,0,0.214527,21.4527
2025/5/12,Ğ¡¼Æ,20424,52819,-264,5740.959,0,,
2025/5/13,ru2506,3555,4933,734,258.534,0,0.257975,25.7975
2025/5/13,ru2507,126,285,79,43.279,0,0.188804,18.8804
2025/5/13,ru2509,13530,46706,-808,3601.288,0,0.228799,22.8799
2025/5/13,ru2601,124,911,11,38.922,0,0.207928,20.7928
2025/5/13,Ğ¡¼Æ,17335,52835,16,3942.023,0,,
2025/5/14,ru2506,6975,5818,885,514.101,0,0.26443,26.443
2025/5/14,ru2507,105,324,39,14.277,0,0.210032,21.0032
2025/5/14,ru2509,20360,46942,236,6531.05,0,0.219284,21.9284
2025/5/14,ru2601,247,978,67,90.175,0,0.203514,20.3514
2025/5/14,Ğ¡¼Æ,27687,54062,1227,7149.603,0,,
2025/5/15,ru2506,5040,6217,399,274.958,0,0.287151,28.7151
2025/5/15,ru2507,29,343,19,2.988,0,0.226463,22.6463
2025/5/15,ru2509,9397,48057,1115,2831.559,0,0.216413,21.6413
2025/5/15,ru2601,128,985,7,34.385,0,0.208566,20.8566
2025/5/15,Ğ¡¼Æ,14594,55602,1540,3143.89,0,,
2025/5/16,ru2506,3302,6244,27,125.034,0,0.283886,28.3886
2025/5/16,ru2507,22,333,-10,4.314,0,0.204911,20.4911
2025/5/16,ru2509,10840,49333,1276,2896.32,0,0.228013,22.8013
2025/5/16,ru2601,116,979,-6,36.751,0,0.208589,20.8589
2025/5/16,Ğ¡¼Æ,14280,56889,1287,3062.419,0,,
2025/5/19,ru2506,6811,7209,965,285.437,0,0.342693,34.2693
2025/5/19,ru2507,31,335,2,6.094,0,0.222582,22.2582
2025/5/19,ru2509,14423,50205,872,4042.371,0,0.219208,21.9208
2025/5/19,ru2601,230,1030,51,70.088,0,0.21135,21.135
2025/5/19,Ğ¡¼Æ,21495,58779,1890,4403.99,0,,
2025/5/20,ru2506,3886,7225,16,122.513,0,0.307504,30.7504
2025/5/20,ru2507,13,342,7,1.423,0,0.212254,21.2254
2025/5/20,ru2509,7421,50939,734,2331.592,0,0.214162,21.4162
2025/5/20,ru2601,145,1060,30,45.742,0,0.206198,20.6198
